date,store_id,sku_id,units_sold
2025-11-20,STORE_MUMBAI_01,BEV-COC-750,23
2025-12-04,STORE_HYDERABAD_01,ELEC-SAM-25W-ADAPT,1
2025-12-05,STORE_JAIPUR_01,BEV-THUMSUP-750,24
2025-11-21,STORE_KOLKATA_01,CONF-SILK-PLN-60,8
2025-12-07,STORE_KOLKATA_01,ELEC-SAM-25W-CBL,3
2025-12-08,STORE_JAIPUR_01,CONF-SILK-PLN-60,21
2025-12-07,STORE_HYDERABAD_01,INST-MAGGI-SPC-70,57
2025-11-25,STORE_MUMBAI_01,SNK-LAYS-CLSC-52,14
2025-11-23,STORE_PUNE_01,CONF-SILK-HAZ-58,15
2025-11-21,STORE_DELHI_NCR_01,CONF-SILK-HAZ-58,21
2025-12-07,STORE_JAIPUR_01,BEV-COCZ-750,63
2025-12-05,STORE_PUNE_01,BEV-THUMSUP-750,76
2025-11-21,STORE_KOLKATA_01,INST-MAGGI-SPC-70,24
2025-12-03,STORE_HYDERABAD_01,INST-MAGGI-MAS-70,41
2025-12-05,STORE_DELHI_NCR_01,ELEC-SAM-25W-ADAPT,1
2025-11-22,STORE_AHMEDABAD_01,INST-MAGGI-MAS-70,16
2025-11-22,STORE_HYDERABAD_01,BEV-THUMSUP-750,44
2025-12-08,STORE_KOLKATA_01,INST-MAGGI-SPC-70,20
2025-11-27,STORE_HYDERABAD_01,CONF-SILK-HAZ-58,11
2025-11-20,STORE_JAIPUR_01,CONF-SILK-PLN-60,26
2025-11-20,STORE_DELHI_NCR_01,INST-MAGGI-SPC-70,49
2025-11-27,STORE_AHMEDABAD_01,CONF-SILK-HAZ-58,19
2025-12-02,STORE_HYDERABAD_01,BEV-COC-750,27
2025-11-23,STORE_HYDERABAD_01,BEV-COC-750,84
2025-12-07,STORE_HYDERABAD_01,BEV-THUMSUP-750,55
2025-11-20,STORE_PUNE_01,INST-MAGGI-SPC-70,55
2025-11-20,STORE_MUMBAI_01,SNK-LAYS-CLSC-52,29
2025-11-22,STORE_MUMBAI_01,ELEC-SAM-25W-ADAPT,4
2025-12-02,STORE_CHENNAI_01,BEV-THUMSUP-750,76
2025-11-26,STORE_AHMEDABAD_01,BEV-THUMSUP-750,73
2025-11-19,STORE_AHMEDABAD_01,INST-MAGGI-SPC-70,49
2025-12-02,STORE_KOLKATA_01,INST-MAGGI-MAS-70,18
2025-11-22,STORE_THANE_01,BEV-COC-750,86
2025-11-26,STORE_KOLKATA_01,CONF-SILK-HAZ-58,14
2025-11-26,STORE_KOLKATA_01,BEV-COC-750,60
2025-12-01,STORE_MUMBAI_01,INST-MAGGI-MAS-70,53
2025-11-27,STORE_MUMBAI_01,ELEC-SAM-25W-ADAPT,2
2025-12-06,STORE_MUMBAI_01,BEV-COC-750,32
2025-11-27,STORE_AHMEDABAD_01,ELEC-SAM-25W-CBL,5
2025-11-27,STORE_DELHI_NCR_01,BEV-COCZ-750,56
2025-11-30,STORE_MUMBAI_01,CONF-SILK-PLN-60,24
2025-12-05,STORE_JAIPUR_01,CONF-SILK-PLN-60,27
2025-11-25,STORE_PUNE_01,BEV-COC-750,63
2025-11-19,STORE_HYDERABAD_01,ELEC-SAM-25W-ADAPT,3
2025-11-25,STORE_MUMBAI_01,CONF-SILK-PLN-60,7
2025-11-29,STORE_CHENNAI_01,INST-MAGGI-SPC-70,43
2025-11-22,STORE_PUNE_01,ELEC-SAM-25W-ADAPT,2
2025-12-02,STORE_MUMBAI_01,CONF-SILK-PLN-60,22
2025-12-06,STORE_AHMEDABAD_01,SNK-LAYS-CLSC-52,24
2025-12-01,STORE_AHMEDABAD_01,ELEC-SAM-25W-CBL,3
2025-12-01,STORE_HYDERABAD_01,BEV-COC-750,38
2025-11-25,STORE_THANE_01,ELEC-SAM-25W-CBL,3
2025-11-29,STORE_BANGALORE_01,CONF-SILK-HAZ-58,19
2025-11-25,STORE_HYDERABAD_01,CONF-SILK-HAZ-58,25
2025-11-24,STORE_JAIPUR_01,INST-MAGGI-MAS-70,36
2025-12-08,STORE_MUMBAI_01,BEV-COCZ-750,69
2025-11-26,STORE_PUNE_01,SNK-LAYS-CLSC-52,33
2025-11-23,STORE_DELHI_NCR_01,BEV-COC-750,42
2025-12-04,STORE_CHENNAI_01,BEV-COCZ-750,47
2025-12-07,STORE_KOLKATA_01,CONF-SILK-PLN-60,21
2025-11-26,STORE_AHMEDABAD_01,BEV-COC-750,74
2025-11-22,STORE_THANE_01,SNK-LAYS-CLSC-52,13
2025-12-05,STORE_BANGALORE_01,BEV-COC-750,53
2025-11-22,STORE_BANGALORE_01,BEV-THUMSUP-750,82
2025-12-05,STORE_HYDERABAD_01,ELEC-SAM-25W-CBL,2
2025-12-03,STORE_CHENNAI_01,ELEC-SAM-25W-ADAPT,2
2025-12-06,STORE_BANGALORE_01,BEV-THUMSUP-750,78
2025-12-04,STORE_BANGALORE_01,INST-MAGGI-MAS-70,48
2025-11-27,STORE_HYDERABAD_01,CONF-SILK-HAZ-58,21
2025-11-27,STORE_BANGALORE_01,BEV-COCZ-750,63
2025-11-26,STORE_PUNE_01,INST-MAGGI-SPC-70,26
2025-12-06,STORE_JAIPUR_01,BEV-THUMSUP-750,35
2025-12-01,STORE_AHMEDABAD_01,SNK-LAYS-CLSC-52,7
2025-12-02,STORE_MUMBAI_01,ELEC-SAM-25W-ADAPT,2
2025-11-20,STORE_KOLKATA_01,CONF-SILK-PLN-60,15
2025-12-07,STORE_DELHI_NCR_01,ELEC-SAM-25W-CBL,2
2025-11-19,STORE_MUMBAI_01,INST-MAGGI-MAS-70,48
2025-12-02,STORE_HYDERABAD_01,ELEC-SAM-25W-ADAPT,4
2025-11-26,STORE_BANGALORE_01,SNK-LAYS-CLSC-52,15
2025-12-04,STORE_DELHI_NCR_01,CONF-SILK-PLN-60,13
2025-12-01,STORE_AHMEDABAD_01,CONF-SILK-HAZ-58,28
2025-12-08,STORE_HYDERABAD_01,BEV-COC-750,74
2025-12-07,STORE_CHENNAI_01,BEV-COC-750,30
2025-12-02,STORE_AHMEDABAD_01,CONF-SILK-HAZ-58,10
2025-11-27,STORE_THANE_01,INST-MAGGI-SPC-70,21
2025-11-29,STORE_MUMBAI_01,CONF-SILK-PLN-60,14
2025-12-02,STORE_PUNE_01,BEV-COCZ-750,48
2025-12-06,STORE_DELHI_NCR_01,INST-MAGGI-SPC-70,21
2025-11-21,STORE_DELHI_NCR_01,BEV-COC-750,77
2025-11-25,STORE_DELHI_NCR_01,ELEC-SAM-25W-CBL,1
2025-11-23,STORE_BANGALORE_01,BEV-COCZ-750,65
2025-11-25,STORE_BANGALORE_01,INST-MAGGI-MAS-70,48
2025-11-24,STORE_CHENNAI_01,ELEC-SAM-25W-CBL,5
2025-11-22,STORE_AHMEDABAD_01,INST-MAGGI-MAS-70,15
2025-11-19,STORE_PUNE_01,ELEC-SAM-25W-CBL,3
2025-12-01,STORE_THANE_01,SNK-LAYS-CLSC-52,8
2025-11-26,STORE_JAIPUR_01,INST-MAGGI-MAS-70,53
2025-12-08,STORE_JAIPUR_01,ELEC-SAM-25W-CBL,4
2025-11-30,STORE_HYDERABAD_01,CONF-SILK-PLN-60,26
2025-11-21,STORE_HYDERABAD_01,INST-MAGGI-SPC-70,11
2025-12-02,STORE_BANGALORE_01,BEV-COCZ-750,46
2025-11-30,STORE_BANGALORE_01,BEV-THUMSUP-750,55
2025-12-05,STORE_PUNE_01,ELEC-SAM-25W-CBL,4
2025-12-06,STORE_BANGALORE_01,CONF-SILK-HAZ-58,19
2025-12-07,STORE_PUNE_01,INST-MAGGI-SPC-70,53
2025-11-21,STORE_PUNE_01,CONF-SILK-HAZ-58,11
2025-12-03,STORE_CHENNAI_01,ELEC-SAM-25W-CBL,3
2025-11-29,STORE_DELHI_NCR_01,CONF-SILK-HAZ-58,32
2025-11-24,STORE_BANGALORE_01,SNK-LAYS-CLSC-52,17
2025-11-27,STORE_MUMBAI_01,INST-MAGGI-MAS-70,54
2025-11-27,STORE_HYDERABAD_01,BEV-COC-750,51
2025-11-25,STORE_JAIPUR_01,SNK-LAYS-CLSC-52,30
2025-12-04,STORE_HYDERABAD_01,SNK-LAYS-CLSC-52,29
2025-12-04,STORE_BANGALORE_01,BEV-COC-750,26
2025-11-26,STORE_THANE_01,SNK-LAYS-CLSC-52,16
2025-12-07,STORE_MUMBAI_01,CONF-SILK-HAZ-58,23
2025-11-30,STORE_THANE_01,ELEC-SAM-25W-ADAPT,2
2025-12-03,STORE_PUNE_01,INST-MAGGI-MAS-70,23
2025-11-22,STORE_KOLKATA_01,INST-MAGGI-SPC-70,16
2025-12-06,STORE_AHMEDABAD_01,SNK-LAYS-CLSC-52,15
2025-12-04,STORE_PUNE_01,ELEC-SAM-25W-CBL,5
2025-12-05,STORE_CHENNAI_01,INST-MAGGI-MAS-70,59
2025-11-25,STORE_PUNE_01,SNK-LAYS-CLSC-52,18
2025-11-28,STORE_DELHI_NCR_01,ELEC-SAM-25W-ADAPT,1
2025-11-20,STORE_DELHI_NCR_01,ELEC-SAM-25W-ADAPT,1
2025-11-23,STORE_BANGALORE_01,BEV-COCZ-750,87
2025-12-07,STORE_PUNE_01,CONF-SILK-HAZ-58,20
2025-11-29,STORE_AHMEDABAD_01,BEV-COC-750,42
2025-12-04,STORE_JAIPUR_01,BEV-COCZ-750,44
2025-11-21,STORE_CHENNAI_01,BEV-COC-750,29
2025-12-07,STORE_PUNE_01,BEV-COCZ-750,96
2025-11-22,STORE_HYDERABAD_01,CONF-SILK-PLN-60,24
2025-12-08,STORE_KOLKATA_01,ELEC-SAM-25W-ADAPT,2
2025-12-03,STORE_PUNE_01,ELEC-SAM-25W-CBL,5
2025-11-28,STORE_CHENNAI_01,ELEC-SAM-25W-CBL,0
2025-11-22,STORE_KOLKATA_01,SNK-LAYS-CLSC-52,17
2025-11-21,STORE_AHMEDABAD_01,SNK-LAYS-CLSC-52,11
